DEM2,EXP1,EXP1A,EXP2,EXP3,Question,Scores
35-44 years old,Yes,Mobile phone,No,No,RFCB,2
35-44 years old,Yes,Mobile phone,No,No,RFCB,2
35-44 years old,Yes,Mobile phone,No,No,RFCB,2
35-44 years old,Yes,Mobile phone,No,No,RFCB,2
35-44 years old,Yes,Mobile phone,No,No,RFCC,4
35-44 years old,Yes,Mobile phone,No,No,RFCC,4
35-44 years old,Yes,Mobile phone,No,No,RFCC,3
35-44 years old,Yes,Mobile phone,No,No,RFCC,2
35-44 years old,Yes,Mobile phone,No,No,RFCC,2
35-44 years old,Yes,Mobile phone,No,No,RFCD,4
35-44 years old,Yes,Mobile phone,No,No,RFCD,4
35-44 years old,Yes,Mobile phone,No,No,RFCD,5
35-44 years old,Yes,Mobile phone,No,No,RFCD,4
35-44 years old,Yes,Mobile phone,No,No,RFCD,4
25-34 years old,Yes,Mobile phone,No,No,OIRA,2
25-34 years old,Yes,Mobile phone,No,No,OIRAB,2
25-34 years old,Yes,Mobile phone,No,No,OIRA,4
25-34 years old,Yes,Mobile phone,No,No,OIRAB,4
25-34 years old,Yes,Mobile phone,No,No,OIRA,4
25-34 years old,Yes,Mobile phone,No,No,OIRAB,1
25-34 years old,Yes,Mobile phone,No,No,OIRA,4
25-34 years old,Yes,Mobile phone,No,No,OIRAB,3
25-34 years old,Yes,Mobile phone,No,No,OIRA,2
25-34 years old,Yes,Mobile phone,No,No,OIRAB,3
25-34 years old,Yes,Mobile phone,No,No,OIRB,5
25-34 years old,Yes,Mobile phone,No,No,OIRBB,2
25-34 years old,Yes,Mobile phone,No,No,OIRB,4
25-34 years old,Yes,Mobile phone,No,No,OIRBB,2
25-34 years old,Yes,Mobile phone,No,No,OIRB,2
25-34 years old,Yes,Mobile phone,No,No,OIRBB,4
25-34 years old,Yes,Mobile phone,No,No,OIRB,5
25-34 years old,Yes,Mobile phone,No,No,OIRBB,2
25-34 years old,Yes,Mobile phone,No,No,OIRB,1
25-34 years old,Yes,Mobile phone,No,No,OIRBB,3
25-34 years old,Yes,Mobile phone,No,No,RFCA,5
25-34 years old,Yes,Mobile phone,No,No,RFCA,5
25-34 years old,Yes,Mobile phone,No,No,RFCA,5
25-34 years old,Yes,Mobile phone,No,No,RFCA,5
25-34 years old,Yes,Mobile phone,No,No,RFCA,5
25-34 years old,Yes,Mobile phone,No,No,RFCB,1
25-34 years old,Yes,Mobile phone,No,No,RFCB,5
25-34 years old,Yes,Mobile phone,No,No,RFCB,1
25-34 years old,Yes,Mobile phone,No,No,RFCB,3
25-34 years old,Yes,Mobile phone,No,No,RFCB,4
25-34 years old,Yes,Mobile phone,No,No,RFCC,2
25-34 years old,Yes,Mobile phone,No,No,RFCC,4
25-34 years old,Yes,Mobile phone,No,No,RFCC,4
25-34 years old,Yes,Mobile phone,No,No,RFCC,5
25-34 years old,Yes,Mobile phone,No,No,RFCC,5
25-34 years old,Yes,Mobile phone,No,No,RFCD,3
25-34 years old,Yes,Mobile phone,No,No,RFCD,4
25-34 years old,Yes,Mobile phone,No,No,RFCD,1
25-34 years old,Yes,Mobile phone,No,No,RFCD,3
25-34 years old,Yes,Mobile phone,No,No,RFCD,5
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRA,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRAB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRA,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRAB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRA,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRAB,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRA,5
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRAB,1
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRA,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRAB,1
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRB,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRBB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRB,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRBB,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRB,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRBB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRB,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRBB,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRB,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,OIRBB,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCA,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCA,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCA,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCA,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCA,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCB,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCB,1
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCB,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCC,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCC,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCC,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCC,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCC,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCD,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCD,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCD,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCD,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,No,RFCD,3
35-44 years old,Yes,Mobile phone,No,No,OIRA,4
35-44 years old,Yes,Mobile phone,No,No,OIRAB,2
35-44 years old,Yes,Mobile phone,No,No,OIRA,4
35-44 years old,Yes,Mobile phone,No,No,OIRAB,2
35-44 years old,Yes,Mobile phone,No,No,OIRA,4
35-44 years old,Yes,Mobile phone,No,No,OIRAB,2
35-44 years old,Yes,Mobile phone,No,No,OIRA,4
35-44 years old,Yes,Mobile phone,No,No,OIRAB,2
35-44 years old,Yes,Mobile phone,No,No,OIRA,4
35-44 years old,Yes,Mobile phone,No,No,OIRAB,1
35-44 years old,Yes,Mobile phone,No,No,OIRB,4
35-44 years old,Yes,Mobile phone,No,No,OIRBB,2
35-44 years old,Yes,Mobile phone,No,No,OIRB,4
35-44 years old,Yes,Mobile phone,No,No,OIRBB,2
35-44 years old,Yes,Mobile phone,No,No,OIRB,4
35-44 years old,Yes,Mobile phone,No,No,OIRBB,2
35-44 years old,Yes,Mobile phone,No,No,OIRB,4
35-44 years old,Yes,Mobile phone,No,No,OIRBB,2
35-44 years old,Yes,Mobile phone,No,No,OIRB,4
35-44 years old,Yes,Mobile phone,No,No,OIRBB,1
35-44 years old,Yes,Mobile phone,No,No,RFCA,3
35-44 years old,Yes,Mobile phone,No,No,RFCA,3
35-44 years old,Yes,Mobile phone,No,No,RFCA,5
35-44 years old,Yes,Mobile phone,No,No,RFCA,5
35-44 years old,Yes,Mobile phone,No,No,RFCA,3
35-44 years old,Yes,Mobile phone,No,No,RFCB,2
35-44 years old,Yes,Mobile phone,No,No,RFCB,2
35-44 years old,Yes,Mobile phone,No,No,RFCB,3
35-44 years old,Yes,Mobile phone,No,No,RFCB,3
35-44 years old,Yes,Mobile phone,No,No,RFCB,3
35-44 years old,Yes,Mobile phone,No,No,RFCC,3
35-44 years old,Yes,Mobile phone,No,No,RFCC,3
35-44 years old,Yes,Mobile phone,No,No,RFCC,3
35-44 years old,Yes,Mobile phone,No,No,RFCC,2
35-44 years old,Yes,Mobile phone,No,No,RFCC,2
35-44 years old,Yes,Mobile phone,No,No,RFCD,3
35-44 years old,Yes,Mobile phone,No,No,RFCD,3
35-44 years old,Yes,Mobile phone,No,No,RFCD,2
35-44 years old,Yes,Mobile phone,No,No,RFCD,2
35-44 years old,Yes,Mobile phone,No,No,RFCD,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,5
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,5
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,5
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,2
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,4
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,5
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,3
35-44 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,3
18-24 years old,Yes,Mobile phone,No,Yes,OIRA,3
18-24 years old,Yes,Mobile phone,No,Yes,OIRAB,1
18-24 years old,Yes,Mobile phone,No,Yes,OIRA,4
18-24 years old,Yes,Mobile phone,No,Yes,OIRAB,1
18-24 years old,Yes,Mobile phone,No,Yes,OIRA,4
18-24 years old,Yes,Mobile phone,No,Yes,OIRAB,1
18-24 years old,Yes,Mobile phone,No,Yes,OIRA,4
18-24 years old,Yes,Mobile phone,No,Yes,OIRAB,3
18-24 years old,Yes,Mobile phone,No,Yes,OIRA,2
18-24 years old,Yes,Mobile phone,No,Yes,OIRAB,3
18-24 years old,Yes,Mobile phone,No,Yes,OIRB,2
18-24 years old,Yes,Mobile phone,No,Yes,OIRBB,3
18-24 years old,Yes,Mobile phone,No,Yes,OIRB,4
18-24 years old,Yes,Mobile phone,No,Yes,OIRBB,2
18-24 years old,Yes,Mobile phone,No,Yes,OIRB,4
18-24 years old,Yes,Mobile phone,No,Yes,OIRBB,3
18-24 years old,Yes,Mobile phone,No,Yes,OIRB,2
18-24 years old,Yes,Mobile phone,No,Yes,OIRBB,2
18-24 years old,Yes,Mobile phone,No,Yes,OIRB,3
18-24 years old,Yes,Mobile phone,No,Yes,OIRBB,3
18-24 years old,Yes,Mobile phone,No,Yes,RFCA,4
18-24 years old,Yes,Mobile phone,No,Yes,RFCA,2
18-24 years old,Yes,Mobile phone,No,Yes,RFCA,5
18-24 years old,Yes,Mobile phone,No,Yes,RFCA,5
18-24 years old,Yes,Mobile phone,No,Yes,RFCA,2
18-24 years old,Yes,Mobile phone,No,Yes,RFCB,2
18-24 years old,Yes,Mobile phone,No,Yes,RFCB,2
18-24 years old,Yes,Mobile phone,No,Yes,RFCB,3
18-24 years old,Yes,Mobile phone,No,Yes,RFCB,4
18-24 years old,Yes,Mobile phone,No,Yes,RFCB,3
18-24 years old,Yes,Mobile phone,No,Yes,RFCC,2
18-24 years old,Yes,Mobile phone,No,Yes,RFCC,2
18-24 years old,Yes,Mobile phone,No,Yes,RFCC,2
18-24 years old,Yes,Mobile phone,No,Yes,RFCC,2
18-24 years old,Yes,Mobile phone,No,Yes,RFCC,2
18-24 years old,Yes,Mobile phone,No,Yes,RFCD,1
18-24 years old,Yes,Mobile phone,No,Yes,RFCD,2
18-24 years old,Yes,Mobile phone,No,Yes,RFCD,1
18-24 years old,Yes,Mobile phone,No,Yes,RFCD,2
18-24 years old,Yes,Mobile phone,No,Yes,RFCD,1
25-34 years old,Yes,Mobile phone,No,Yes,OIRA,5
25-34 years old,Yes,Mobile phone,No,Yes,OIRAB,2
25-34 years old,Yes,Mobile phone,No,Yes,OIRA,4
25-34 years old,Yes,Mobile phone,No,Yes,OIRAB,2
25-34 years old,Yes,Mobile phone,No,Yes,OIRA,4
25-34 years old,Yes,Mobile phone,No,Yes,OIRAB,2
25-34 years old,Yes,Mobile phone,No,Yes,OIRA,5
25-34 years old,Yes,Mobile phone,No,Yes,OIRAB,3
25-34 years old,Yes,Mobile phone,No,Yes,OIRA,4
25-34 years old,Yes,Mobile phone,No,Yes,OIRAB,3
25-34 years old,Yes,Mobile phone,No,Yes,OIRB,5
25-34 years old,Yes,Mobile phone,No,Yes,OIRBB,2
25-34 years old,Yes,Mobile phone,No,Yes,OIRB,4
25-34 years old,Yes,Mobile phone,No,Yes,OIRBB,2
25-34 years old,Yes,Mobile phone,No,Yes,OIRB,4
25-34 years old,Yes,Mobile phone,No,Yes,OIRBB,3
25-34 years old,Yes,Mobile phone,No,Yes,OIRB,4
25-34 years old,Yes,Mobile phone,No,Yes,OIRBB,2
25-34 years old,Yes,Mobile phone,No,Yes,OIRB,4
25-34 years old,Yes,Mobile phone,No,Yes,OIRBB,3
25-34 years old,Yes,Mobile phone,No,Yes,RFCA,5
25-34 years old,Yes,Mobile phone,No,Yes,RFCA,5
25-34 years old,Yes,Mobile phone,No,Yes,RFCA,5
25-34 years old,Yes,Mobile phone,No,Yes,RFCA,5
25-34 years old,Yes,Mobile phone,No,Yes,RFCA,2
25-34 years old,Yes,Mobile phone,No,Yes,RFCB,1
25-34 years old,Yes,Mobile phone,No,Yes,RFCB,4
25-34 years old,Yes,Mobile phone,No,Yes,RFCB,4
25-34 years old,Yes,Mobile phone,No,Yes,RFCB,4
25-34 years old,Yes,Mobile phone,No,Yes,RFCB,1
25-34 years old,Yes,Mobile phone,No,Yes,RFCC,5
25-34 years old,Yes,Mobile phone,No,Yes,RFCC,5
25-34 years old,Yes,Mobile phone,No,Yes,RFCC,5
25-34 years old,Yes,Mobile phone,No,Yes,RFCC,5
25-34 years old,Yes,Mobile phone,No,Yes,RFCC,2
25-34 years old,Yes,Mobile phone,No,Yes,RFCD,4
25-34 years old,Yes,Mobile phone,No,Yes,RFCD,4
25-34 years old,Yes,Mobile phone,No,Yes,RFCD,5
25-34 years old,Yes,Mobile phone,No,Yes,RFCD,5
25-34 years old,Yes,Mobile phone,No,Yes,RFCD,1
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,5
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,3
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,5
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,3
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,4
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,3
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,4
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,3
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,4
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,3
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,5
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,2
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,5
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,2
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,4
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,3
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,5
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,3
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,5
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,1
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,5
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,2
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,5
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,5
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,5
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,4
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,2
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,1
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,2
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,1
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,2
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,2
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,2
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,4
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,1
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,1
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,1
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,2
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,2
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,1
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,5
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,1
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,4
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,1
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,4
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,3
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,5
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,3
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,4
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,3
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,5
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,2
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,4
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,2
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,4
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,2
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,5
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,2
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRB,4
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRBB,3
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,4
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,4
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,2
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,2
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCA,5
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,1
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,5
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,4
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,1
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCB,2
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,3
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,2
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,4
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,5
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCC,2
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,1
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,4
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,4
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,1
18-24 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,RFCD,4
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRA,2
45-54 years old,Yes,"Smarthub (Amazon Echo, Apple Homehub, Google Nest)",No,Yes,OIRAB,3
